序号,ArXiv ID,标题,作者,领域,评分,发布日期,标签,摘要
12,2607.18171v1,FlashRT: Agent Harness for Guiding Agents to Deploy Real-Time Multimodal Applications,"Krish Agarwal, Zhuoming Chen, Yanyuan Qin",AI_Agent,5.0,N/A,,"Real-time multimodal applications, including voice agents and interactive video generation, compose "
13,2607.18152v1,jina-reranker-v3.5: An Efficient Listwise Reranker with Hybrid Attention and Self-Distillation,"Christina Nasika, Feng Wang, Antonis Krasakis",AI_Agent,5.0,N/A,,"Listwise rerankers are the discriminative core of agentic retrieval pipelines, yet production deploy"
14,2607.18147v1,LLMs and Agentic AI Systems for Smart Grids: A Tutorial on Architectures and Applications,"Daniela Rojas, Abdulwahab Albassam, Aidan G. Leung",AI_Agent,5.0,N/A,,Large language models (LLMs) and agentic AI systems have evolved from natural language tasks to usin
15,2607.18141v1,HyMCache: A KV Cache Framework for Multi-Turn LLM Serving with CXL-Hybrid Memory,"Hakbeom Jang, Inho Song, Sam H. Noh",AI_Agent,5.0,N/A,,"Long-context, multi-turn, and agentic LLM workloads increasingly reuse previously processed context,"
16,2607.18138v1,"AI Agent Communications in AI-Native 6G Network: Status, Challenges and Opportunities",Qiang Duan,AI_Agent,5.0,N/A,,The rapid development of agentic AI and multi-agent systems is establishing AI agent communication a
17,2607.18115v1,Compositional Semantic Communication for Physical AI: Category Theory Meets Game Theory,"Christo Kurisummoottil Thomas, Walid Saad, Emilio Calvanese Strinati",AI_Agent,5.0,N/A,,Physical artificial intelligence (AI) systems involve distributed sensing agents with embedded AI mo
18,2607.18102v1,FinSAgent: Corpus-Aligned Multi-Agent RAG Framework for Evidence-Grounded SEC Filing Question Answering,"Jijun Chi, Zhenghan Tai, Hanwei Wu",AI_Agent,5.0,N/A,,Financial question answering over U.S. Securities and Exchange Commission (SEC) filings requires ret
19,2607.18063v1,"Adaptive Adversaries: A Multi-Turn, Multi-LLM Benchmark for LLM Agent Security","Devina Jain, David Hartmann, Chuan Li",AI_Agent,5.0,N/A,,"LLM-based agents process external content, exposing them to prompt injection and multi-turn manipula"
20,2607.18060v1,RoboHarness: Memory-Driven Orchestration of Heterogeneous Robot Policies for Long-Horizon Planning,"Jinbang Huang, Yuanzhao Hu, Zhiyuan Li",AI_Agent,5.0,N/A,,Long-horizon robotic tasks require diverse capabilities that no single policy can reliably provide. 
21,2607.18231v1,FM-VLA: Force-based Memory for Vision-Language-Action Models in Contact-Rich Manipulation,"Ruicheng Li, Qixiu Li, Ruichun Ma",AI_Agent,5.0,N/A,,"Vision-language-action (VLA) models have achieved impressive generalization in robotic manipulation,"
22,2607.18228v1,Logical Judgments Under Pressure: Diagnosing Syllogistic Stability with Learned Soft Prefixes,Brian K Chen,AI_Agent,5.0,N/A,,"To test how correct logical judgments respond to learned context, we prepend a soft prefix to an exa"
23,2607.18207v1,Benchmarking wall velocities in cosmological phase transitions: Fluid Ansatz and WallGo,"Gláuber C. Dorsch, Marek Lewicki, Daniel A. Pinto",AI_Agent,5.0,N/A,,A reliable computation of the bubble wall velocity during a cosmological phase transition requires a
24,2607.18195v1,Certified Training for Convolutional Perturbations,"Benedikt Brückner, Alessio Lomuscio",AI_Agent,5.0,N/A,,Vision models have been found to be susceptible to perturbations such as motion blur induced at runt
25,2607.18193v1,A Self-Consistent 3D Hydrodynamic Model for Helium Transit Signatures in Evaporating Hot Jupiters,"Anselmo Falorca, Aline Vidotto",AI_Agent,5.0,N/A,,"The HeI triplet line (1083 nm), together with hydrodynamic models, can be used to characterize atmos"
26,2607.18236v1,Patch Policy: Efficient Embodied Control via Dense Visual Representations,"Gaoyue Zhou, Zichen Jeff Cui, Ada Langford",LLM推理优化,5.0,N/A,,Pretrained dense visual features from Vision Transformers (ViTs) are powerful yet have been underuti
27,2607.18229v1,Breaking the $f_{\text{NL}}$--$b_φ$ degeneracy with the time evolution of tracer number counts,"Caio B. de S. Nascimento, Neal Dalal",LLM推理优化,5.0,N/A,,Constraining local primordial non-Gaussianity through scale-dependent bias requires an accurate dete
28,2607.18227v1,FlowMimic: Mask-free Visual Editing and Generation with Pixel-pair Warped Flow Field for Online Video Editing Data Generation and Modality Mimicry,"Dingyun Zhang, Lixue Gong, Wei Liu",LLM推理优化,5.0,N/A,,"In line with the prevailing direction of vision research, we explore the integration of both generat"
29,2607.18225v1,Vector Search As Nearest Neighbor Matching: RAG-based Policy Learning in Causal Inference,"Masahiro Kato, Taka Kato",LLM推理优化,5.0,N/A,,We propose one-step and two-step methods for policy learning with retrieval-augmented generation (RA
30,2607.18187v1,EVOLVE: Efficient Learned Volume Compression with Variable-Rate Encoding on a Cross-Domain Database,"Kaiyuan Tang, Maizhe Yang, Chaoli Wang",LLM推理优化,5.0,N/A,,Large-scale scientific simulations generate volumetric data at rates that far outpace advances in st
31,2607.18144v1,Do Language Models Dream of Binding Molecules? Benchmarking LLMs under Spatial Constraints,"Thomas MacDougall, Maksim Kuznetsov, Roman Schutski",LLM推理优化,5.0,N/A,,"Structure-based drug design (SBDD) leverages the 3D structure of protein targets, often complemented"
32,2607.18098v1,VDAR-Router: Adaptive LLMs Routing via Verbalized Query Difficulty Analysis Retrieval,"Yu-Chien Tang, Jun-Chen Hung, Wen-Chih Peng",LLM推理优化,5.0,N/A,,"Large language models are increasingly used in practical systems, making efficient model selection i"
33,2607.18069v1,Hardware Mechanisms to Dynamically Throttle AI Performance,"Haiyue Ma, Lauren Malek, Joseph Forzani",LLM推理优化,5.0,N/A,,"As more capable AI models are increasingly integrated into critical computer systems, the lack of co"
34,2607.18027v1,L1 Augmented Attention as an Improved Vector Similarity Metric,Kurt Godden,LLM推理优化,5.0,N/A,,"Scaled dot product attention conflates directional alignment and vector magnitude, limiting its effe"
35,2607.18006v1,MADA-RL: Multi-Agent Debate-Aware Reinforcement Learning for Parameter-Efficient Reasoning in Compact Models,"Martino M. L. Pulici, Cuong Xuan Chu, Evgeny Kharlamov",LLM推理优化,5.0,N/A,,"Large language models achieve strong reasoning performance, but often at prohibitive training cost -"
36,2607.17902v1,Benchmarking Resource-Efficient LLMs for Research Topic Ontology Generation in the Biomedical Field,"Tanay Aggarwal, Angelo Salatino, Francesco Osborne",LLM推理优化,5.0,N/A,,Knowledge Organization Systems like Ontologies and taxonomies are fundamental for structuring scient
37,2607.17842v1,CaT-GS: Efficient 3DGS Rendering for Large Scale Scenes via Inter-frame Caching and Tile Scheduling,"Tingjia Zhang, Bo Chen, Shengzhong Liu",LLM推理优化,5.0,N/A,,Recent breakthroughs in 3D Gaussian Splatting (3DGS) have advanced neural rendering with high fideli
38,2607.18164v1,"A Continual Validation, Updating, and Decision-Making Framework for Self-Adaptive Digital Twins via Robust Model Predictive Control: A Case Study in Additive Manufacturing","Yi-Ping Chen, Ying-Kuan Tsai, Vispi Karkaria",LLM推理优化,5.0,N/A,,"Digital Twins rely on surrogate models to mirror physical systems in real time, yet these models can"
39,2607.18130v1,Manifold-Constrained Hyper-Connections for Parameter-Efficient Finetuning,"Valentijn Oldenburg, Floris de Kam, Bente Zuijdam",LLM推理优化,5.0,N/A,,"Most parameter-efficient finetuning (PEFT) methods adapt weights or activations, thus leaving one of"
40,2607.18119v1,COVAriance-Induced Fairness Gap Penalty for Subgroup-Fair Clustering,"Kyungseon Lee, Hankyo Jeong, Kunwoong Kim",LLM推理优化,5.0,N/A,,"Fair clustering aims to make cluster assignments independent of sensitive attributes, but this goal "
41,2607.18237v1,The Many Senses of Visual Similarity: A Text-Prompted Image Perceptual Metric,"Sheng-Yu Wang, Yotam Nitzan, Aaron Hertzmann",LLM推理优化,5.0,N/A,,"Human visual similarity judgments are context-dependent. For example, two images may be similar in s"
42,2607.18234v1,Cosmological consequences of a dynamical dark matter in the light of DESI DR2 measurements,"Abhijith Ajith, Utkarsh Kumar",LLM推理优化,5.0,N/A,,"Recent DESI results exhibit preference for a Null Energy Condition violating dynamical dark energy, "
43,2607.18233v1,Theoretical uncertainties in reconstructing model parameters with gravitational waves from supercooled phase transitions,"Maciej Kierkla, Marek Lewicki, Philipp Schicho",LLM推理优化,5.0,N/A,,Future interferometers may detect a gravitational-wave (GW) signal from a cosmological first-order p
44,2607.18230v1,Simple Domain Generalization for Strong Pixel-Level Image Tampering Detection in Modern VLMs,"Yi Tang, Xinyi Shang, Jiacheng Cui",LLM推理优化,5.0,N/A,,Modern vision-language models (VLMs) have significantly improved image generation and editing capabi
45,2607.18219v1,Search for continuous gravitational waves from the pulsar J0435+3233,"Brian McGloughlin, Jing Ming, Maria Alessandra Papa",多模态大模型,5.0,N/A,,We perform a search for continuous gravitational waves from J0435+3233 using LIGO O4a public data. J
46,2607.18217v1,HOMIE: Human-object Centric Video Personalization via Multimodal Intelligent Enchancement,"Yiyang Cai, Nan Chen, Rongchang Xie",多模态大模型,5.0,N/A,,Human-object centric video personalization (HOCVP) is a core task within subject-driven video genera
47,2607.18109v1,SpEmoC: A Balanced Speaker-Segment Multimodal Emotion Benchmark,"Sania Bano, Shahzad Ahmad, Santosh Kumar Vipparthi",多模态大模型,5.0,N/A,,"Understanding human emotions in spoken conversations is a key challenge in affective computing, with"
48,2607.18088v1,The Label Complexity of Class-Conditional Coverage under Distribution Shift,"Weijia Han, Lisha Qu",多模态大模型,5.0,N/A,,"Standard evaluation of many recognition systems contains distribution shift by construction, since b"
49,2607.18042v1,Anticipate Before Acting: Future-State-Conditioned Vision-Language Navigation,"Lingfeng Zhang, Zhanguang Zhang, Liheng Ma",多模态大模型,5.0,N/A,,End-to-end vision-language navigation (VLN) with causal vision-language models can map instructions 
50,2607.17849v1,AlphaOracle: Oracle bone script decipherment via human-workflow-inspired deep learning,"Yuliang Liu, Haisu Guan, Pengjie Wang",多模态大模型,5.0,N/A,,"Approximately 3,000 of the 4,500 oracle bone script (OBS) characters remain undeciphered due to frag"
51,2607.17833v1,Consistent Feature Transport for Image Relighting,"Bohan Zhang, Huanwei Liang, Yuhan He",多模态大模型,5.0,N/A,,Image relighting modifies illumination while preserving non-lighting content such as identity and ge
52,2607.17820v1,PRiSM: Prototype Regularization for Few-Shot VLMs,"Ghassen Baklouti, Omprakash Chakraborty, Jose Dolz",多模态大模型,5.0,N/A,,Training-free few-shot adaptation methods have gained significant attention recently in the context 
53,2607.18114v1,How Does Alignment Tuning Shape Representations of Sycophancy and Related Cue-Induced Biases in LLMs?,"Prakhar Gupta, Terry Jingchen Zhang, Florent Draye",多模态大模型,5.0,N/A,,Modern LLMs are alarmingly susceptible to surprisingly simple immaterial changes of input prompts: a
54,2607.18066v1,Pancasila-Dilemmas: Evaluating Large Language Models on Indonesian Human Value Dilemmas Grounded in Pancasila," Supryadi,  Irfan,  Julianti",多模态大模型,5.0,N/A,,The value alignment of large language models (LLMs) is crucial for ensuring responses align with hum
55,2607.18056v1,An Early Warning of Emerging Biosecurity Risks in Frontier LLMs,"Zhida He, Xia Hu, Baichen Le",多模态大模型,5.0,N/A,,"Frontier large language models (LLMs) are increasingly integrated into scientific workflows, yet the"
56,2607.17773v1,FillGauss: Fine-Grained Filling-Aware Impact Sound Generation for 3D Gaussian Splatting,"Chen Yang, Ganye Wen, Bin Huang",多模态大模型,5.0,N/A,,Synthesizing physically plausible impact sounds from visual observations remains a great challenge i
57,2607.18223v1,All Tree-Level Massive Cosmological Correlators via Spectral Gluing,"Jonathan Gräfe, Denis Werth",代码生成,5.0,N/A,,"Massive cosmological correlators exhibit a rich hypergeometric structure already at tree level, refl"
58,2607.18211v1,Sensitivity of p_T Fluctuations to the QCD Equation of State,"Rutik Manikandhan, Rohit Gupta, Rene Bellwied",代码生成,5.0,N/A,,"We construct a novel theoretical baseline for dynamical transverse momentum correlations, $C_{pT}$, "
59,2607.18204v1,QuantiSpect: A Structure-Aware Lightweight 3D CNN Pre-Decoder for Scalable Surface Code Quantum Error Correction,"Pan Gao, Xu-Sheng Xu, Ji-Ze Han",代码生成,5.0,N/A,,Real-time decoding is a critical bottleneck for large-scale fault-tolerant quantum computing. AI-bas
60,2607.18174v1,Improved Convergence Rate for Stochastic Multi-Gradient Descent: A Proof Discovered with AI,Lisha Chen,代码生成,5.0,N/A,,"For smooth nonconvex stochastic multi-objective problems, stochastic multi-gradient descent (SMG) co"
61,2607.18170v1,"An approach to systemic risks of AI through the lens of emergence, collective action problems, and externalities","Carsten Orwat, Lucas Staab, Alexandros Gazos",代码生成,5.0,N/A,,"The integration of general-purpose artificial intelligence models into downstream AI systems, among "
62,2607.18168v1,A Forward-Backward Weight Analysis of INW for Permutation Branching Programs,"Gil Cohen, Dean Doron, Noam Goldgraber",代码生成,5.0,N/A,,We construct an $\varepsilon$-error PRG for permutation read-once branching programs of length $n$ a
63,2607.18161v1,TRIM: Reducing AI-Generated CodeSlop via Agent Trajectory Minimization,"Alex Mathai, Shobini Iyer, Aleksandr Nogikh",代码生成,5.0,N/A,,"Coding agents are increasingly used to accelerate code generation in many downstream tasks, such as "
64,2607.18127v1,ClouDens: Operational Context-Aware Anomaly Detection for Large-scale Cloud System Monitoring,"Thu T. H. Doan, Mohammad Saiful Islam, Andriy Miranskyy",代码生成,5.0,N/A,,"With the rapid growth of cloud computing infrastructures in scale and complexity, network monitoring"
65,2607.18108v1,GARAGE: Characterizing the Automation Boundary in LLM-based Attack Graph Generation,"Daekwon Pi, Sangho Lee, Young Hun Lee",代码生成,5.0,N/A,,"While modern vehicle security depends on effective Cyber Threat Intelligence (CTI) synthesis, curren"
66,2607.18068v1,Human Grounded Evaluation of Large Language Models for Optical Network Automation,"Kiarash Rezaei, Omran Ayoub, Paolo Monti",代码生成,5.0,N/A,,"Large language models (LLMs) are increasingly adopted for network automation, yet their output quali"
67,2607.18064v1,Autoresearch with Coding Agents: Generalizers and Metric-Maximizers on Quran Recitation Data,"Nursultan Askarbekuly, Mohamad Al Mdfaa, Ahmed Helaly",代码生成,5.0,N/A,,Coding agents can now be left alone to improve software against a score. In this pattern--recently p
68,2607.18050v1,New bound on $S_{1}\times S_{2}$-setting Bell locality of a nonseparable Werner state,Elena R. Loubenets,代码生成,5.0,N/A,,In many quantum applications it is important to know whether or not a Bell nonlocal two-qudit state 
69,2607.18116v1,SGA: Plug&Play Geometric Verification for Educational Video Synthesis,"Lopez Jhon, Hinojosa Carlos, Ghanem Bernard",芯片验证,5.0,N/A,,Recent work leverages Large Language Models (LLMs) to generate executable code for pedagogical anima
70,2607.18080v1,Sparse Evidence Can Suffice: Agentic Evidence Seeking for Multimodal Video Misinformation Detection,"Haochen Zhao, Yongxiu Xu, Xinkui Lin",芯片验证,5.0,N/A,,Multimodal video misinformation detection is commonly formulated as a holistic video-understanding t
71,2607.18049v1,Parameterized Verification of Deterministic MPI Programs,Stephen F. Siegel,芯片验证,5.0,N/A,,We consider the problem of verifying a message passing program in which the number of processes is a
72,2607.17956v1,Does Robust VIO Need More Learning? Geometry-Verified Visual Measurements under Distribution Shift,"Yangyang Ning, Shu Liang, Quanbo Ge",芯片验证,5.0,N/A,,"Learning is increasingly introduced into visual-inertial odometry (VIO), ranging from learned featur"
73,2607.17883v1,"Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworthy Enterprise AI","Bogdan Raduta, Horia Velicu, Alexandru Preda",芯片验证,5.0,N/A,,"Enterprises will not deploy AI agents they cannot trust, and the most-cited reason for distrust is h"
74,2607.18062v1,UniETP: Unifying Environments for Generalizable Embodied Task Planning,"Peiran Xu, Jiaqi Zheng, Ziyou Wang",芯片验证,5.0,N/A,,"This paper focuses on the problem of Embodied Task Planning, where an agent is required to execute a"
75,2607.18196v1,Hardware Robustness of Sample-Based Quantum Diagonalization,"Ahatesham Bhuiyan, Cheng Chu, Qian Lou",芯片验证,5.0,N/A,,Sample-based Quantum Diagonalization (SQD) is a hybrid quantum-classical method that replaces variat
76,2607.18169v1,RRAM-DP: Device-Calibrated Differential Privacy for In-Memory Edge Learning,"Kwunhang Wong, Jichang Yang, Karl M. H. Lai",芯片验证,5.0,N/A,,"Edge Artificial Intelligence of Things (AIoT) systems often collect sensitive data in situ, raising "
77,2607.18149v1,Differentiable Logic Gate Networks for Low-Latency EEG Classification on Edge Devices,"Shyamal Y. Dharia, Stephen D. Smith, Camilo E. Valderrama",芯片验证,5.0,N/A,,Real-time EEG classification on edge devices is bottlenecked by the floating-point arithmetic of con
78,2607.18137v1,Phase-Sensitive Benchmarking of Composite Quantum Gates with Chiral-Interference Circuits on Quantum Hardware,"Georgi M. Aleksandrov, Nikolay V. Vitanov",芯片验证,5.0,N/A,,We construct and experimentally implement compact gate-native circuits that simulate the state-trans
79,2607.18135v1,Isaac Sim-to-Real: Reinforcement Learning based Locomotion for Quadrupeds,"Jordan Dowdy, Jean Chagas Vaz",芯片验证,5.0,N/A,,"Learning-based approaches to locomotion have risen in popularity in recent years, showing the capabi"
80,2607.18126v1,CutBackdoor: A Circuit Cut Triggered Backdoor Attack on Variational Quantum Algorithms,"Ahatesham Bhuiyan, Hoang Ngo, Cheng Chu",芯片验证,5.0,N/A,,"Variational Quantum Algorithms (VQAs) are a leading paradigm for near-term quantum computing, combin"
81,2607.17899v1,SEAM-V: A Hybrid-Decoupled RISC-V Vector Processor with Backend-Visible EP Context for Sustained Vector Throughput,"Weiying Wang, Zhiwei Zhang",芯片验证,5.0,N/A,,Data-parallel workloads in deep learning and scientific computing continue to drive demand for highe
82,2607.17528v1,Can AI Agents Really Complete RTL-to-GDS? Lessons from Benchmarking Tool-Interactive EDA Workflows,"Jinyuan Deng, Zhengrui Chen, Xufeng Wei",芯片验证,5.0,N/A,,LLM-driven agent systems have emerged as a promising paradigm for electronic design automation (EDA)
83,2607.17053v1,MechMem-RTL: Reusing Verified Mechanism Memories for LLM-Based RTL Repair,"Mingyu Cheng, Junjie Gao, Jinhua Cui",芯片验证,5.0,N/A,,Large language models (LLMs) can automatically repair register-transfer-level (RTL) designs. However
84,2607.17423v1,TimeLens2: Generalist Video Temporal Grounding with Multimodal LLMs,"Yuhan Zhu, Changlian Ma, Xiangyu Zeng",芯片验证,5.0,N/A,,"Video multimodal large language models (MLLMs) can describe what happens in a video, but rarely iden"
85,2607.16855v1,Rtl2lean: Automated RTL-to-Lean Translation with Hierarchical Theorem Generation and Lemma Reuse,"Hongqin Lyu, Junxing Dong, Yonghao Wang",芯片验证,5.0,N/A,,Formal verification with interactive theorem provers can provide strong correctness guarantees for r
86,2607.16632v1,CLOSER-Bench: Evaluating Budgeted Cross-Stage Design Closure for Hardware Agents,"Peilong Zhou, Zhirong Chen, Cangyuan Li",芯片验证,5.0,N/A,,Hardware engineering exposes coding agents to a form of long-horizon work that is difficult to captu
87,2607.16862v1,InLiER: Learning-Free Heterogeneous LiDAR Place Recognition via Intermediate Mixed-Radix Structural Keypoint Tokenization,"Nikolaos Stathoulopoulos, George Nikolakopoulos",芯片验证,5.0,N/A,,"LiDAR place recognition supports loop closure, relocalization, and multi-agent map management. As ro"
88,2607.16826v1,Spatially-Aware Class-Agnostic Object Counting,"Robert Wijaya, Md. Tanvir Hossain, Amanda Kau",芯片验证,5.0,N/A,,Generalised object counting aims to estimate the number of instances of an arbitrary object category
89,2607.16058v1,From Patterns to Parsers: Automatic Generation of Efficient Hardware Parsers for FPGAs,"Tushar Garg, Andrew Boutros",芯片验证,5.0,N/A,,This work presents an open-source tool for automatically generating efficient hardware parsers from 
90,2607.15830v1,RTL-Sequencer: Towards Scalable RTL Timing Prediction with the Sequence-based Paradigm,"Ziyan Guo, Wenji Fang, Wenkai Li",芯片验证,5.0,N/A,,Accurate timing prediction at the register-transfer level (RTL) is a longstanding challenge in desig
91,2607.15782v1,Vogls: a Fast Interactive Full-timing Simulator for Pre-silicon Power Side-Channel Analysis,"Gijs Burghoorn, Ileana Buhan, Lejla Batina",芯片验证,5.0,N/A,,Designing hardware circuits resistant to side-channel attacks increasingly relies on simulation to p
92,2607.15328v1,Lazy Arithmetic using Systolic Arrays for Closing the Verification Gap on Embedded Systems,"Taisa Kushner, Ryan McCleeary, Martin Brain",芯片验证,5.0,N/A,,"Complex algorithms such as deep neural networks are increasingly being deployed on embedded, resourc"
93,2607.12244v1,ORRAM: An OpenROAD-Integrated RAM Generator Using Standard Cells,"Brayden Louie, Thinh P. Nguyen, Matt Liberty",芯片验证,5.0,N/A,,Memory inference remains a significant challenge in turnkey ASIC design flows. Inferring flip-flops 
94,2607.18140v1,A Mathematical Model of Dengue Transmission Incorporating Hospital Capacity and Threshold-Based Fogging Interventions,"Dipo Aldila, Joseph Páez Chávez, Aytül Gökçe",5G移动通信,5.0,N/A,,"Dengue remains a major public health challenge in tropical regions, and recurring outbreaks suggest "
95,2607.18101v1,Empowering On-Device Model Adaptation with an Edge AI Inference Accelerator,"Mateusz Piechocki, Alessandro Capotondi, Marek Kraft",5G移动通信,5.0,N/A,,On-device model adaptation is essential to enable lifelong personalization on resource-constrained h
96,2607.18089v1,Real-Time Flight Test Maneuver Selection with Monte Carlo Tree Search,"Nicholas E. Bostock, Helen Pruitt-Kennett, Marc R. Schlichting",5G移动通信,5.0,N/A,,"Flight test is shifting toward a data-centric approach in which data contribute to model refinement,"
97,2607.18081v1,SelectInfer: Selective Neuron Loading and Computation for On-Device LLMs,"Huzaifa Shaaban Kabakibo, Eric Schniedermeyer, Artem Burchanow",5G移动通信,5.0,N/A,,Large Language Models (LLMs) have demonstrated remarkable capabilities across a range of Natural Lan
98,2607.18036v1,Self-Interference-Aware AS-Assisted Tri-Hybrid Beamforming for Full-Duplex Massive MIMO,"Yuanzhe Gong, Cheng-Jie Zhao, Tho Le-Ngoc",5G移动通信,5.0,N/A,,This paper proposes a tri-hybrid beamforming (tri-HBF) scheme with antenna-selection (AS)-based reco
99,2607.18034v1,AdaHome: An Adaptive Smart Home Assistant using Local Small Language Models,"Eu Jin Lim, Zhaoxing Li, Sebastian Stein",5G移动通信,5.0,N/A,,"Smart home assistants interpret a wide range of user commands, from explicit device control to under"
100,2607.18019v1,Modeling rare-earth and energy materials supply chains under theoretical China-outer-Mongolia political reunification scenarios,"Xi Liu, Wenxi Fang",5G移动通信,5.0,N/A,,"Critical rare earth elements, lithium, copper, and coal underpin global clean energy transitions and"
101,2607.18002v1,ExpertPlex: A High-Goodput Disaggregated Serving System for MoE LLMs with Adaptive Persistent Kernels,"Bingyang Wu, Chao Jin, Zili Zhang",5G移动通信,5.0,N/A,,"LLMs scale Mixture-of-Experts (MoE) parameters for superior intelligence, but massive weights and dy"
102,2607.18166v1,Non-injective field redefinitions and quantum inequivalence in scalar theories,Bin Zhu,5G移动通信,5.0,N/A,,We study scalar theories obtained by pulling a free massive multiplet back through a polynomial fiel
103,2607.18123v1,A Low-Storage Implicit Dual-Time Finite-Volume Framework for Radio-Frequency Capacitively Coupled Plasma Fluid Simulations,"Yuze Zhu, Hangkong Wu, Junzhe Cao",5G移动通信,5.0,N/A,,Radio-frequency (RF) capacitively coupled plasmas (CCPs) are widely utilized in semiconductor manufa
104,2607.17978v1,RuNNer 2.0: A Software Suite for High-Dimensional Neural Network Potentials,"Alexander L. M. Knoll, Moritz R. Schäfer, K. Nikolas Lausch",5G移动通信,5.0,N/A,,"We present RuNNer 2.0, the ""Ruhr University Neural Network energy representation"", a highly optimize"
105,2607.17877v1,Task-Oriented Precoding for Edge Inference over Large-Scale MIMO Systems,"Hongru Li, Zeyan Zhuang, Zixin Wang",5G移动通信,5.0,N/A,,"Future wireless networks are expected to support networked artificial intelligence (AI) services, wh"
106,2607.17862v1,Massive MIMO-OFDM ISAC for Sparse ISAR Imaging: Joint Power and Subcarrier Allocation,"Hamid Reza Hashempour, Yanjiao Li, Jie Zhang",5G移动通信,5.0,N/A,,This paper investigates a massive multiple-input multiple-output (mMIMO) orthogonal frequency-divisi
107,2607.17758v1,Towards Reliable Zero-Shot Crowd Forecasting: Evaluating Time Series Foundation Models for Special Event Pedestrian Forecasting,"Ziteng Li, Yanan Xin, Tina Comes",5G移动通信,5.0,N/A,,Managing massive crowds during infrequent special events requires reliable real-time pedestrian-flow
108,2607.18091v1,SciForma: Structure-Faithful Generation of Scientific Diagrams,"Yuxuan Luo, Peng Zhang, Xinjie Zhang",5G移动通信,5.0,N/A,,"Structural fidelity is essential to scientific methodology diagrams. To communicate research logic, "
109,2607.18084v1,WorldCupArena: Fine-Grained Evaluation of Language Models and Deep-Research Agents on Football Forecasting,"Zhaokai Wang, Tianlin Gui, Jiayuan Rao",5G移动通信,5.0,N/A,,Predicting a football match before kickoff requires more than knowing past results: a model must use
110,2607.18067v1,QIRF Quantum-Inspired Non-Orthogonal Function-Space Compression for 3D Gaussian Splatting,"Shizeng Jiang, Hao Zhang, Xuerui Ma",5G移动通信,5.0,N/A,,3D Gaussian Splatting (3DGS) achieves high-quality real-time rendering by representing a scene with 
111,2607.18053v1,Fiber-Optic Communication and Torsion Sensing via a BB84-Inspired Polarization Scheme,"Vinícius Piaia, Rodrigo Cosme, Paulo Robalinho",5G移动通信,5.0,N/A,,Polarization-encoded optical-fiber links provide a useful platform for investigating the coexistence
